ndvi,lat,lon,alt,acs,species,UNIQ_ID
113,-16.6072,-72.6964,27,LA1474,S. peruvianum,419
100,-17.25,-71.25,1336,LA1958,S. chilense,420
108,-23.6833,-68.0667,2390,LA2884,S. chilense,421
130,-12.95,-74.0167,3340,LA1306,S. chmielewskii,422
137,-13.7333,-71.9833,3110,LA2663,S. chmielewskii,423
121,-10.1417,-77.3833,3140,LA1363,S. habrochaites,424
124,-7.18,-78.52,1340,LA2167,S. habrochaites,425
106,-16.2083,-73.6333,320,LA716,S. pennellii,426
124,-15.7833,-74.3917,2240,LA446,S. peruvianum,427
107,-17.0167,-72.0833,0,LA1954,S. peruvianum,428
124,-17.5333,-70.0333,3015,LA1969,S. chilense,429
107,-25.4,-70.4,660,LA2891,S. chilense,430
135,-13.3925,-73.915,3100,LA1316,S. chmielewskii,431
128,-14.1525,-71.3886,3480,LA2695,S. chmielewskii,432
127,-12.45,-75.925,3540,LA1691,S. habrochaites,433
128,-5.7667,-77.8667,2160,LA2204,S. habrochaites,434
110,-16.2333,-71.7,2585,LA1973,S. peruvianum,435
132,-13.4167,-73.8417,2000,LA1317,S. chmielewskii,436
111,-11.5667,-76.73,1840,LA361,S. habrochaites,437
118,-14.2667,-74.9167,2920,LA1918,S. habrochaites,438
111,-11.9008,-76.6633,1020,LA1367,S. pennellii,439
112,-16.1383,-73.6428,480,LA3788,S. pennellii,440
107,-16.2094,-73.6222,75,LA1336,S. peruvianum,441
123,-10.15,-77.35,3540,LA3795,S. peruvianum,442
115,-18.2667,-69.5833,3260,LA2773,S. chilense,443
131,-13.925,-73.025,2880,LA1028,S. chmielewskii,444
136,-13.6833,-72.9583,2300,LA1318,S. chmielewskii,445
111,-9.55,-77.8917,1340,LA1361,S. habrochaites,446
106,-14.4492,-75.2203,620,LA1912,S. pennellii,447
